From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
5;6;sea;26;-1;-1;-1;-1;Posacco-Akko
-1;-1;;-1;-1;-1;-1;-1;-1;
From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
850;854;sea;26;-1;-1;-1;-1;Yoaxün-Payulam-Yaaiyu
-1;-1;;-1;-1;-1;-1;-1;-1;
From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
850;849;sea;26;-1;-1;-1;-1;Yoaxün-Payulam-Pouxaiulam
-1;-1;;-1;-1;-1;-1;-1;-1;
From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
848;849;sea;26;-1;-1;-1;-1;Haxaayülam-Pouxaiulam
-1;-1;;-1;-1;-1;-1;-1;-1;
